customer_id,gender,senior_citizen,partner,dependents,tenure,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract_type,paperless_billing,payment_method,monthly_charges,total_charges,churn,churn_flag,tenure_group,monthly_charge_band,estimated_CLV
9867-JCZSP,Female,0,Yes,Yes,17,Yes,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year",No,"Mailed check",20.75,418.25,No,0,"13-24 Months","Low charge",352.75
4671-VJLCL,Female,0,No,No,63,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,"Two year",Yes,"Credit card (automatic)",79.85,4861.45,No,0,"49+ Months","High charge",5030.55
4080-IIARD,Female,0,Yes,No,13,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,"Electronic check",76.20,981.45,No,0,"13-24 Months","High charge",990.60
3714-NTNFO,Female,0,No,No,49,Yes,Yes,"Fiber optic",No,No,No,No,No,Yes,Month-to-month,Yes,"Electronic check",84.50,3906.70,No,0,"49+ Months","High charge",4140.50
5948-UJZLF,Male,0,No,No,2,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,"Mailed check",49.25,97.00,No,0,"0-12 Months","Medium charge",98.50
7760-OYPDY,Female,0,No,No,2,Yes,No,"Fiber optic",No,No,No,No,Yes,No,Month-to-month,Yes,"Electronic check",80.65,144.15,Yes,1,"0-12 Months","High charge",161.30
7639-LIAYI,Male,0,No,No,52,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,"Two year",Yes,"Credit card (automatic)",79.75,4217.80,No,0,"49+ Months","High charge",4147.00
2954-PIBKO,Female,0,Yes,Yes,69,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,"Two year",Yes,"Credit card (automatic)",64.15,4254.10,No,0,"49+ Months","Medium charge",4426.35
8012-SOUDQ,Female,1,No,No,43,Yes,Yes,"Fiber optic",No,Yes,No,No,Yes,No,Month-to-month,Yes,"Electronic check",90.25,3838.75,No,0,"25-48 Months","High charge",3880.75
9420-LOJKX,Female,0,No,No,15,Yes,No,"Fiber optic",Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,"Credit card (automatic)",99.10,1426.40,Yes,1,"13-24 Months","High charge",1486.50
6575-SUVOI,Female,1,Yes,No,25,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,"Credit card (automatic)",69.50,1752.65,No,0,"25-48 Months","Medium charge",1737.50
7495-OOKFY,Female,1,Yes,No,8,Yes,Yes,"Fiber optic",No,Yes,No,No,No,No,Month-to-month,Yes,"Credit card (automatic)",80.65,633.30,Yes,1,"0-12 Months","High charge",645.20
4667-QONEA,Female,1,Yes,Yes,60,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,"One year",Yes,"Credit card (automatic)",74.85,4456.35,No,0,"49+ Months","High charge",4491.00
1658-BYGOY,Male,1,No,No,18,Yes,Yes,"Fiber optic",No,No,No,No,Yes,Yes,Month-to-month,Yes,"Electronic check",95.45,1752.55,Yes,1,"13-24 Months","High charge",1718.10
8769-KKTPH,Female,0,Yes,Yes,63,Yes,Yes,"Fiber optic",Yes,No,No,No,Yes,Yes,"One year",Yes,"Credit card (automatic)",99.65,6311.20,No,0,"49+ Months","High charge",6277.95
5067-XJQFU,Male,1,Yes,Yes,66,Yes,Yes,"Fiber optic",No,Yes,Yes,Yes,Yes,Yes,"One year",Yes,"Electronic check",108.45,7076.35,No,0,"49+ Months","High charge",7157.70
3957-SQXML,Female,0,Yes,Yes,34,Yes,Yes,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year",No,"Credit card (automatic)",24.95,894.30,No,0,"25-48 Months","Low charge",848.30
5954-BDFSG,Female,0,No,No,72,Yes,Yes,"Fiber optic",No,No,Yes,Yes,Yes,Yes,"Two year",Yes,"Credit card (automatic)",107.50,7853.70,No,0,"49+ Months","High charge",7740.00
0434-CSFON,Female,0,Yes,No,47,Yes,Yes,"Fiber optic",No,No,Yes,No,Yes,Yes,Month-to-month,Yes,"Electronic check",100.50,4707.10,No,0,"25-48 Months","High charge",4723.50
1215-FIGMP,Male,0,No,No,60,Yes,Yes,"Fiber optic",No,Yes,No,No,Yes,No,Month-to-month,Yes,"Bank transfer (automatic)",89.90,5450.70,No,0,"49+ Months","High charge",5394.00
0526-SXDJP,Male,0,Yes,No,72,No,"No phone service",DSL,Yes,Yes,Yes,No,No,No,"Two year",No,"Bank transfer (automatic)",42.10,2962.00,No,0,"49+ Months","Medium charge",3031.20
0557-ASKVU,Female,0,Yes,Yes,18,Yes,No,DSL,No,No,Yes,Yes,No,No,"One year",Yes,"Credit card (automatic)",54.40,957.10,No,0,"13-24 Months","Medium charge",979.20
5698-BQJOH,Female,0,No,No,9,Yes,Yes,"Fiber optic",No,No,No,No,Yes,Yes,Month-to-month,No,"Electronic check",94.40,857.25,Yes,1,"0-12 Months","High charge",849.60
5122-CYFXA,Female,0,No,No,3,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,"Electronic check",75.30,244.10,No,0,"0-12 Months","High charge",225.90
8627-ZYGSZ,Male,0,Yes,No,47,Yes,Yes,"Fiber optic",No,Yes,No,No,No,No,"One year",Yes,"Electronic check",78.90,3650.35,No,0,"25-48 Months","High charge",3708.30
3410-YOQBQ,Female,0,No,No,31,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,"Two year",No,"Mailed check",79.20,2497.20,No,0,"25-48 Months","High charge",2455.20
3170-NMYVV,Female,0,Yes,Yes,50,Yes,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year",No,"Bank transfer (automatic)",20.15,930.90,No,0,"49+ Months","Low charge",1007.50
7410-OIEDU,Male,0,No,No,10,Yes,No,"Fiber optic",Yes,No,Yes,No,No,No,Month-to-month,Yes,"Mailed check",79.85,887.35,No,0,"0-12 Months","High charge",798.50
2273-QCKXA,Male,0,No,No,1,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,"Mailed check",49.05,49.05,No,0,"0-12 Months","Medium charge",49.05
0731-EBJQB,Female,0,Yes,Yes,52,Yes,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year",Yes,"Electronic check",20.40,1090.65,No,0,"49+ Months","Low charge",1060.80
1891-QRQSA,Male,1,Yes,Yes,64,Yes,Yes,"Fiber optic",Yes,No,Yes,Yes,Yes,Yes,"Two year",Yes,"Bank transfer (automatic)",111.60,7099.00,No,0,"49+ Months","High charge",7142.40
8028-PNXHQ,Male,0,Yes,Yes,62,Yes,Yes,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year",Yes,"Bank transfer (automatic)",24.25,1424.60,No,0,"49+ Months","Low charge",1503.50
5630-AHZIL,Female,0,No,Yes,3,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,"Bank transfer (automatic)",64.50,177.40,No,0,"0-12 Months","Medium charge",193.50
2673-CXQEU,Female,1,No,No,56,Yes,Yes,"Fiber optic",Yes,Yes,Yes,No,Yes,Yes,"One year",No,"Electronic check",110.50,6139.50,No,0,"49+ Months","High charge",6188.00
6416-JNVRK,Female,0,No,No,46,Yes,No,DSL,No,No,No,No,No,Yes,"One year",No,"Credit card (automatic)",55.65,2688.85,No,0,"25-48 Months","Medium charge",2559.90
5590-ZSKRV,Female,0,Yes,Yes,8,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,"Mailed check",54.65,482.25,No,0,"0-12 Months","Medium charge",437.20
0191-ZHSKZ,Male,1,No,No,30,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,"Electronic check",74.75,2111.30,No,0,"25-48 Months","High charge",2242.50
3887-PBQAO,Female,0,Yes,Yes,45,Yes,Yes,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year",Yes,"Credit card (automatic)",25.90,1216.60,No,0,"25-48 Months","Low charge",1165.50
5919-TMRGD,Female,0,No,Yes,1,Yes,No,"Fiber optic",No,No,No,No,Yes,No,Month-to-month,Yes,"Electronic check",79.35,79.35,Yes,1,"0-12 Months","High charge",79.35
8108-UXRQN,Female,0,Yes,Yes,11,No,"No phone service",DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,"Electronic check",50.55,565.35,No,0,"0-12 Months","Medium charge",556.05
9191-MYQKX,Female,0,Yes,No,7,Yes,No,"Fiber optic",No,No,Yes,No,No,No,Month-to-month,Yes,"Bank transfer (automatic)",75.15,496.90,Yes,1,"0-12 Months","High charge",526.05
9919-YLNNG,Female,0,No,No,42,Yes,No,"Fiber optic",No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,"Bank transfer (automatic)",103.80,4327.50,No,0,"25-48 Months","High charge",4359.60
0318-ZOPWS,Female,0,Yes,No,49,Yes,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year",Yes,"Bank transfer (automatic)",20.15,973.35,No,0,"49+ Months","Low charge",987.35
4445-ZJNMU,Male,0,No,No,9,Yes,Yes,"Fiber optic",No,Yes,No,No,Yes,Yes,Month-to-month,Yes,"Credit card (automatic)",99.30,918.75,No,0,"0-12 Months","High charge",893.70
4808-YNLEU,Female,0,Yes,No,35,Yes,No,DSL,Yes,No,No,No,Yes,No,"One year",Yes,"Bank transfer (automatic)",62.15,2215.45,No,0,"25-48 Months","Medium charge",2175.25
1862-QRWPE,Female,0,Yes,Yes,48,Yes,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year",No,"Bank transfer (automatic)",20.65,1057.00,No,0,"25-48 Months","Low charge",991.20
2796-NNUFI,Female,0,Yes,Yes,46,Yes,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year",Yes,"Mailed check",19.95,927.10,No,0,"25-48 Months","Low charge",917.70
3016-KSVCP,Male,0,Yes,No,29,No,"No phone service",DSL,No,No,No,No,Yes,No,Month-to-month,No,"Mailed check",33.75,1009.25,No,0,"25-48 Months","Low charge",978.75
4767-HZZHQ,Male,0,Yes,Yes,30,Yes,No,"Fiber optic",No,Yes,Yes,No,No,No,Month-to-month,No,"Bank transfer (automatic)",82.05,2570.20,No,0,"25-48 Months","High charge",2461.50
2424-WVHPL,Male,1,No,No,1,Yes,No,"Fiber optic",No,No,No,Yes,No,No,Month-to-month,No,"Electronic check",74.70,74.70,No,0,"0-12 Months","High charge",74.70
7233-PAHHL,Male,0,Yes,Yes,66,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,"Two year",Yes,"Mailed check",84.00,5714.25,No,0,"49+ Months","High charge",5544.00
6067-NGCEU,Female,0,No,No,65,Yes,Yes,"Fiber optic",Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,"Credit card (automatic)",111.05,7107.00,No,0,"49+ Months","High charge",7218.25
9848-JQJTX,Male,0,No,No,72,Yes,Yes,"Fiber optic",No,Yes,Yes,No,Yes,Yes,"Two year",Yes,"Bank transfer (automatic)",100.90,7459.05,No,0,"49+ Months","High charge",7264.80
8637-XJIVR,Female,0,No,No,12,Yes,Yes,"Fiber optic",Yes,No,No,No,No,No,Month-to-month,Yes,"Electronic check",78.95,927.35,Yes,1,"0-12 Months","High charge",947.40
9803-FTJCG,Male,0,Yes,Yes,71,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,"One year",Yes,"Credit card (automatic)",66.85,4748.70,No,0,"49+ Months","Medium charge",4746.35
0278-YXOOG,Male,0,No,No,5,Yes,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",Month-to-month,No,"Mailed check",21.05,113.85,Yes,1,"0-12 Months","Low charge",105.25
3212-KXOCR,Male,0,No,No,52,Yes,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year",No,"Bank transfer (automatic)",21.00,1107.20,No,0,"49+ Months","Low charge",1092.00
4598-XLKNJ,Female,1,Yes,No,25,Yes,No,"Fiber optic",No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,"Electronic check",98.50,2514.50,Yes,1,"25-48 Months","High charge",2462.50
6380-ARCEH,Male,0,No,No,1,Yes,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",Month-to-month,No,"Mailed check",20.20,20.20,No,0,"0-12 Months","Low charge",20.20
3679-XASPY,Female,0,Yes,Yes,1,Yes,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",Month-to-month,No,"Electronic check",19.45,19.45,No,0,"0-12 Months","Low charge",19.45
7123-WQUHX,Male,0,No,No,38,Yes,Yes,"Fiber optic",No,No,Yes,Yes,Yes,No,"One year",No,"Bank transfer (automatic)",95.00,3605.60,No,0,"25-48 Months","High charge",3610.00
5386-THSLQ,Female,1,Yes,No,66,No,"No phone service",DSL,No,Yes,Yes,No,Yes,No,"One year",No,"Bank transfer (automatic)",45.55,3027.25,No,0,"49+ Months","Medium charge",3006.30
3192-NQECA,Male,0,Yes,No,68,Yes,Yes,"Fiber optic",No,Yes,Yes,Yes,Yes,Yes,"Two year",Yes,"Bank transfer (automatic)",110.00,7611.85,Yes,1,"49+ Months","High charge",7480.00
6180-YBIQI,Male,0,No,No,5,No,"No phone service",DSL,No,No,No,No,No,No,Month-to-month,No,"Mailed check",24.30,100.20,No,0,"0-12 Months","Low charge",121.50
6728-DKUCO,Female,0,Yes,Yes,72,Yes,Yes,"Fiber optic",Yes,Yes,No,No,Yes,Yes,"One year",Yes,"Electronic check",104.15,7303.05,No,0,"49+ Months","High charge",7498.80
9750-BOOHV,Female,0,No,No,32,No,"No phone service",DSL,Yes,No,No,No,No,No,"One year",No,"Mailed check",30.15,927.65,No,0,"25-48 Months","Low charge",964.80
8597-CWYHH,Male,0,No,No,43,Yes,Yes,"Fiber optic",No,No,No,No,Yes,Yes,"One year",No,"Mailed check",94.35,3921.30,No,0,"25-48 Months","High charge",4057.05
2848-YXSMW,Male,0,Yes,Yes,72,Yes,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year",No,"Credit card (automatic)",19.40,1363.25,No,0,"49+ Months","Low charge",1396.80
0486-HECZI,Male,0,Yes,No,55,Yes,Yes,"Fiber optic",Yes,Yes,No,No,Yes,No,Month-to-month,Yes,"Electronic check",96.75,5238.90,Yes,1,"49+ Months","High charge",5321.25
4549-ZDQYY,Female,0,No,No,52,Yes,No,DSL,Yes,No,Yes,Yes,No,No,"One year",No,"Credit card (automatic)",57.95,3042.25,No,0,"49+ Months","Medium charge",3013.40
5712-AHQNN,Female,0,No,No,43,Yes,No,"Fiber optic",No,Yes,Yes,No,Yes,No,Month-to-month,Yes,"Electronic check",91.65,3954.10,No,0,"25-48 Months","High charge",3940.95
4846-WHAFZ,Female,1,Yes,No,37,Yes,Yes,"Fiber optic",No,No,No,No,No,No,Month-to-month,Yes,"Electronic check",76.50,2868.15,Yes,1,"25-48 Months","High charge",2830.50
5256-SKJGO,Female,0,Yes,Yes,64,No,"No phone service",DSL,No,Yes,No,Yes,Yes,Yes,"Two year",Yes,"Electronic check",54.60,3423.50,No,0,"49+ Months","Medium charge",3494.40
3071-VBYPO,Male,0,Yes,Yes,3,Yes,No,"Fiber optic",Yes,Yes,No,No,Yes,No,Month-to-month,No,"Electronic check",89.85,248.40,No,0,"0-12 Months","High charge",269.55
9560-BBZXK,Female,0,No,No,36,No,"No phone service",DSL,Yes,No,No,No,No,No,"Two year",No,"Bank transfer (automatic)",31.05,1126.35,No,0,"25-48 Months","Low charge",1117.80
5299-RULOA,Female,0,Yes,Yes,10,Yes,Yes,"Fiber optic",Yes,No,No,No,Yes,Yes,Month-to-month,Yes,"Electronic check",100.25,1064.65,Yes,1,"0-12 Months","High charge",1002.50
8402-OOOHJ,Female,0,No,No,41,Yes,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year",No,"Mailed check",20.65,835.15,No,0,"25-48 Months","Low charge",846.65
9445-ZUEQE,Male,0,Yes,Yes,27,Yes,Yes,"Fiber optic",No,Yes,No,Yes,No,No,Month-to-month,Yes,"Credit card (automatic)",85.20,2151.60,No,0,"25-48 Months","High charge",2300.40
1091-SOZGA,Female,0,Yes,Yes,56,Yes,Yes,"Fiber optic",No,No,Yes,No,Yes,Yes,"One year",Yes,"Credit card (automatic)",99.80,5515.45,No,0,"49+ Months","High charge",5588.80
2928-HLDBA,Female,0,No,No,6,Yes,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",Month-to-month,No,"Mailed check",20.70,112.75,No,0,"0-12 Months","Low charge",124.20
0404-SWRVG,Male,0,No,No,3,Yes,Yes,"Fiber optic",No,No,No,No,No,No,Month-to-month,Yes,"Electronic check",74.40,229.55,Yes,1,"0-12 Months","High charge",223.20
6497-TILVL,Female,0,Yes,Yes,7,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,"Mailed check",50.70,350.35,No,0,"0-12 Months","Medium charge",354.90
7219-TLZHO,Female,0,Yes,Yes,4,Yes,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",Month-to-month,No,"Mailed check",20.85,62.90,No,0,"0-12 Months","Low charge",83.40
4622-YNKIJ,Male,0,No,No,33,Yes,No,"Fiber optic",Yes,No,No,Yes,Yes,No,"Two year",Yes,"Electronic check",88.95,3027.65,No,0,"25-48 Months","High charge",2935.35
4412-YLTKF,Female,1,No,No,27,Yes,Yes,"Fiber optic",No,No,Yes,No,No,No,Month-to-month,Yes,"Electronic check",78.05,2135.50,Yes,1,"25-48 Months","High charge",2107.35
6734-PSBAW,Male,0,Yes,No,72,Yes,Yes,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year",Yes,"Bank transfer (automatic)",23.55,1723.95,No,0,"49+ Months","Low charge",1695.60
3930-ZGWVE,Male,0,No,No,1,Yes,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",Month-to-month,No,"Mailed check",19.75,19.75,No,0,"0-12 Months","Low charge",19.75
2639-UGMAZ,Male,1,No,No,71,No,"No phone service",DSL,Yes,Yes,No,No,Yes,Yes,"One year",Yes,"Electronic check",56.45,3985.35,No,0,"49+ Months","Medium charge",4007.95
2876-GZYZC,Female,0,No,No,13,Yes,Yes,"Fiber optic",No,No,No,No,No,Yes,Month-to-month,Yes,"Electronic check",85.95,1215.65,No,0,"13-24 Months","High charge",1117.35
6207-WIOLX,Female,0,Yes,Yes,25,No,"No phone service",DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,"Credit card (automatic)",58.60,1502.65,Yes,1,"25-48 Months","Medium charge",1465.00
8587-XYZSF,Male,0,No,No,67,Yes,No,DSL,No,No,No,Yes,No,No,"Two year",No,"Bank transfer (automatic)",50.55,3260.10,No,0,"49+ Months","Medium charge",3386.85
3091-FYHKI,Male,0,No,No,1,No,"No phone service",DSL,No,No,No,No,No,Yes,Month-to-month,Yes,"Electronic check",35.45,35.45,Yes,1,"0-12 Months","Medium charge",35.45
